# ntheta  nphi   nfp  isymm  isort
   100     1      1    2      0
# magnetic axis
# raxis       zaxis
5. 0.
# boundary
# r   z
6.4 0
6.3958554 0.12558104
6.3834286 0.25066647
6.3627427 0.37476263
6.3338396 0.49737977
6.2967865 0.61803399
6.2516829 0.73624911
6.1986701 0.85155858
6.137941 0.96350735
6.0697509 1.0716536
5.9944272 1.1755705
5.9123793 1.274848
5.8241063 1.3690942
5.7302032 1.4579373
5.631364 1.5410265
5.5283824 1.618034
5.4221486 1.6886559
5.3136429 1.7526134
5.2039256 1.8096541
5.0941229 1.859553
4.9854102 1.902113
4.8789913 1.9371663
4.7760758 1.9645745
4.6778541 1.9842294
4.5854713 1.9960535
4.5 2
4.422414 1.9960535
4.3535627 1.9842294
4.2941478 1.9645745
4.2447021 1.9371663
4.2055728 1.902113
4.1769084 1.859553
4.1586504 1.8096541
4.1505303 1.7526134
4.1520721 1.6886559
4.1626006 1.618034
4.1812547 1.5410265
4.2070063 1.4579373
4.2386842 1.3690942
4.275002 1.274848
4.3145898 1.1755705
4.3560284 1.0716536
4.3978858 0.96350735
4.4387539 0.85155858
4.4772858 0.73624911
4.5122305 0.61803399
4.542467 0.49737977
4.5670338 0.37476263
4.5851545 0.25066647
4.5962593 0.12558104
4.6 2.4492936e-16
4.5962593 -0.12558104
4.5851545 -0.25066647
4.5670338 -0.37476263
4.542467 -0.49737977
4.5122305 -0.61803399
4.4772858 -0.73624911
4.4387539 -0.85155858
4.3978858 -0.96350735
4.3560284 -1.0716536
4.3145898 -1.1755705
4.275002 -1.274848
4.2386842 -1.3690942
4.2070063 -1.4579373
4.1812547 -1.5410265
4.1626006 -1.618034
4.1520721 -1.6886559
4.1505303 -1.7526134
4.1586504 -1.8096541
4.1769084 -1.859553
4.2055728 -1.902113
4.2447021 -1.9371663
4.2941478 -1.9645745
4.3535627 -1.9842294
4.422414 -1.9960535
4.5 -2
4.5854713 -1.9960535
4.6778541 -1.9842294
4.7760758 -1.9645745
4.8789913 -1.9371663
4.9854102 -1.902113
5.0941229 -1.859553
5.2039256 -1.8096541
5.3136429 -1.7526134
5.4221486 -1.6886559
5.5283824 -1.618034
5.631364 -1.5410265
5.7302032 -1.4579373
5.8241063 -1.3690942
5.9123793 -1.274848
5.9944272 -1.1755705
6.0697509 -1.0716536
6.137941 -0.96350735
6.1986701 -0.85155858
6.2516829 -0.73624911
6.2967865 -0.61803399
6.3338396 -0.49737977
6.3627427 -0.37476263
6.3834286 -0.25066647
6.3958554 -0.12558104
