# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
9.71 -0
9.7045584 -0.11155935
9.6882751 -0.22226967
9.6612739 -0.33128838
9.6237604 -0.43778578
9.5760201 -0.54095138
9.5184163 -0.64
9.4513874 -0.73417784
9.3754436 -0.82276814
9.2911627 -0.90509668
9.1991863 -0.98053689
9.1002143 -1.0485146
8.995 -1.1085125
8.8843441 -1.160074
8.7690888 -1.2028066
8.6501112 -1.2363851
8.5283169 -1.2605539
8.4046327 -1.2751292
8.28 -1.28
8.1553673 -1.2751292
8.0316831 -1.2605539
7.9098888 -1.2363851
7.7909112 -1.2028066
7.6756559 -1.160074
7.565 -1.1085125
7.4597857 -1.0485146
7.3608137 -0.98053689
7.2688373 -0.90509668
7.1845564 -0.82276814
7.1086126 -0.73417784
7.0415837 -0.64
6.9839799 -0.54095138
6.9362396 -0.43778578
6.8987261 -0.33128838
6.8717249 -0.22226967
6.8554416 -0.11155935
6.85 -1.5675479e-16
6.8554416 0.11155935
6.8717249 0.22226967
6.8987261 0.33128838
6.9362396 0.43778578
6.9839799 0.54095138
7.0415837 0.64
7.1086126 0.73417784
7.1845564 0.82276814
7.2688373 0.90509668
7.3608137 0.98053689
7.4597857 1.0485146
7.565 1.1085125
7.6756559 1.160074
7.7909112 1.2028066
7.9098888 1.2363851
8.0316831 1.2605539
8.1553673 1.2751292
8.28 1.28
8.4046327 1.2751292
8.5283169 1.2605539
8.6501112 1.2363851
8.7690888 1.2028066
8.8843441 1.160074
8.995 1.1085125
9.1002143 1.0485146
9.1991863 0.98053689
9.2911627 0.90509668
9.3754436 0.82276814
9.4513874 0.73417784
9.5184163 0.64
9.5760201 0.54095138
9.6237604 0.43778578
9.6612739 0.33128838
9.6882751 0.22226967
9.7045584 0.11155935
# boundary
# r   z
 1.04458395E+01    0.00000000E+00
 1.04415483E+01    1.08059490E-01
 1.04287253E+01    2.15336852E-01
 1.04075212E+01    3.21058652E-01
 1.03781849E+01    4.24468726E-01
 1.03410598E+01    5.24836508E-01
 1.02965788E+01    6.21465000E-01
 1.02452582E+01    7.13698263E-01
 1.01876903E+01    8.00928344E-01
 1.01245346E+01    8.82601516E-01
 1.00565088E+01    9.58223769E-01
 9.98437856E+00    1.02736547E+00
 9.90894615E+00    1.08966512E+00
 9.83103965E+00    1.14483218E+00
 9.75150108E+00    1.19264894E+00
 9.67117467E+00    1.23297136E+00
 9.59089521E+00    1.26572891E+00
 9.51147654E+00    1.29092352E+00
 9.43370051E+00    1.30862743E+00
 9.35830655E+00    1.31898025E+00
 9.28598186E+00    1.32218506E+00
 9.21735263E+00    1.31850382E+00
 9.15297613E+00    1.30825193E+00
 9.09333403E+00    1.29179231E+00
 9.03882689E+00    1.26952886E+00
 8.98977000E+00    1.24189949E+00
 8.94639052E+00    1.20936891E+00
 8.90882609E+00    1.17242117E+00
 8.87712480E+00    1.13155214E+00
 8.85124656E+00    1.08726205E+00
 8.83106590E+00    1.04004814E+00
 8.81637604E+00    9.90397638E-01
 8.80689422E+00    9.38781077E-01
 8.80226817E+00    8.85646117E-01
 8.80208370E+00    8.31411927E-01
 8.80587309E+00    7.76464229E-01
 8.81312438E+00    7.21151063E-01
 8.82329117E+00    6.65779352E-01
 8.83580302E+00    6.10612287E-01
 8.85007598E+00    5.55867588E-01
 8.86552339E+00    5.01716641E-01
 8.88156652E+00    4.48284531E-01
 8.89764504E+00    3.95650940E-01
 8.91322705E+00    3.43851907E-01
 8.92781860E+00    2.92882389E-01
 8.94097243E+00    2.42699587E-01
 8.95229589E+00    1.93226962E-01
 8.96145786E+00    1.44358866E-01
 8.96819458E+00    9.59657059E-02
 8.97231427E+00    4.78995381E-02
 8.97370051E+00    9.33057772E-17
 8.97231427E+00   -4.78995381E-02
 8.96819458E+00   -9.59657059E-02
 8.96145786E+00   -1.44358866E-01
 8.95229589E+00   -1.93226962E-01
 8.94097243E+00   -2.42699587E-01
 8.92781860E+00   -2.92882389E-01
 8.91322705E+00   -3.43851907E-01
 8.89764504E+00   -3.95650940E-01
 8.88156652E+00   -4.48284531E-01
 8.86552339E+00   -5.01716641E-01
 8.85007598E+00   -5.55867588E-01
 8.83580302E+00   -6.10612287E-01
 8.82329117E+00   -6.65779352E-01
 8.81312438E+00   -7.21151063E-01
 8.80587309E+00   -7.76464229E-01
 8.80208370E+00   -8.31411927E-01
 8.80226817E+00   -8.85646117E-01
 8.80689422E+00   -9.38781077E-01
 8.81637604E+00   -9.90397638E-01
 8.83106590E+00   -1.04004814E+00
 8.85124656E+00   -1.08726205E+00
 8.87712480E+00   -1.13155214E+00
 8.90882609E+00   -1.17242117E+00
 8.94639052E+00   -1.20936891E+00
 8.98977000E+00   -1.24189949E+00
 9.03882689E+00   -1.26952886E+00
 9.09333403E+00   -1.29179231E+00
 9.15297613E+00   -1.30825193E+00
 9.21735263E+00   -1.31850382E+00
